time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	average_capillary_pressure_inside	average_capillary_pressure_outside	
0	8063.4	8944	17007.4	1592.12	8063.4	9655.51	7351.89	0	7351.89	0.178009	1	0.567724	0.821991	0	0.432276	0.543345	-nan	
10.9817	8063.4	8944	17007.4	2364.8	7290.71	9655.51	6579.2	772.685	7351.89	0.264401	0.904174	0.567724	0.735599	0.0958262	0.432276	0.484903	0.333112	
19.1407	8063.4	8944	17007.4	2926.87	6728.65	9655.51	6017.14	1334.75	7351.88	0.327243	0.834468	0.567724	0.672757	0.165532	0.432276	0.481988	0.333417	
26.7591	8063.4	8944	17007.4	3166.16	6489.36	9655.51	5777.84	1574.04	7351.88	0.353998	0.804792	0.567724	0.646002	0.195208	0.432276	0.49622	0.332655	
34.6356	8063.4	8944	17007.4	3365.49	6290.02	9655.51	5578.51	1773.38	7351.88	0.376285	0.780071	0.567724	0.623715	0.219929	0.432276	0.523808	0.333411	
42.6813	8063.4	8944	17007.4	3575.88	6079.63	9655.51	5368.12	1983.76	7351.88	0.399808	0.753979	0.567724	0.600192	0.246021	0.432276	0.530072	0.332918	
50.9586	8063.4	8944	17007.4	3666.35	5989.16	9655.51	5277.65	2074.23	7351.88	0.409923	0.742759	0.567724	0.590077	0.257241	0.432276	0.49465	0.333356	
60.0464	8063.4	8944	17007.4	3739.04	5916.48	9655.51	5204.97	2146.92	7351.88	0.41805	0.733745	0.567724	0.58195	0.266255	0.432276	0.496088	0.333119	
69.0989	8063.4	8944	17007.4	3838.35	5817.17	9655.51	5105.65	2246.23	7351.88	0.429153	0.721429	0.567724	0.570847	0.278571	0.432276	0.521718	0.333466	
78.1966	8063.4	8944	17007.4	3962.19	5693.32	9655.51	4981.81	2370.07	7351.88	0.443	0.70607	0.567724	0.557	0.29393	0.432276	0.528348	0.333867	
87.207	8063.4	8944	17007.4	4077.61	5577.9	9655.51	4866.39	2485.49	7351.88	0.455905	0.691756	0.567724	0.544095	0.308244	0.432276	0.48249	0.333436	
96.7788	8063.4	8944	17007.4	4125.32	5530.19	9655.51	4818.68	2533.21	7351.88	0.461239	0.685839	0.567724	0.538761	0.314161	0.432276	0.537873	0.333798	
106.157	8063.4	8944	17007.4	4189.17	5466.35	9655.51	4754.83	2597.05	7351.88	0.468377	0.677921	0.567724	0.531623	0.322079	0.432276	0.516875	0.333773	
115.994	8063.4	8944	17007.4	4246.81	5408.7	9655.51	4697.19	2654.69	7351.88	0.474822	0.670772	0.567724	0.525178	0.329228	0.432276	0.522964	0.334418	
125.626	8063.4	8944	17007.4	4311.45	5344.06	9655.51	4632.55	2719.33	7351.88	0.482049	0.662756	0.567724	0.517951	0.337244	0.432276	0.541386	0.334052	
135.419	8063.4	8944	17007.4	4363.08	5292.43	9655.52	4580.92	2770.96	7351.88	0.487822	0.656353	0.567724	0.512178	0.343647	0.432276	0.536153	0.333822	
145.455	8063.4	8944	17007.4	4470.56	5184.95	9655.52	4473.44	2878.44	7351.88	0.499839	0.643023	0.567724	0.500161	0.356977	0.432276	0.538608	0.334827	
155.586	8063.4	8944	17007.4	4531.12	5124.39	9655.52	4412.88	2939	7351.88	0.50661	0.635513	0.567724	0.49339	0.364487	0.432276	0.527576	0.334067	
165.537	8063.4	8944	17007.4	4526.32	5129.2	9655.52	4417.68	2934.2	7351.88	0.506073	0.636109	0.567724	0.493927	0.363891	0.432276	0.495556	0.333671	
175.17	8063.4	8944	17007.4	4557.01	5098.51	9655.52	4386.99	2964.89	7351.88	0.509505	0.632303	0.567724	0.490495	0.367697	0.432276	0.52036	0.334641	
184.56	8063.4	8944	17007.4	4591.11	5064.41	9655.52	4352.89	2998.99	7351.88	0.513317	0.628074	0.567724	0.486683	0.371926	0.432276	0.52143	0.33313	
194.568	8063.4	8944	17007.4	4631.12	5024.4	9655.52	4312.89	3039	7351.88	0.51779	0.623112	0.567724	0.48221	0.376888	0.432276	0.546003	0.335063	
205.476	8063.4	8944	17007.4	4686.09	4969.43	9655.52	4257.91	3093.97	7351.88	0.523936	0.616295	0.567724	0.476064	0.383705	0.432276	0.516893	0.333252	
215.296	8063.4	8944	17007.4	4656.05	4999.47	9655.52	4287.95	3063.93	7351.88	0.520578	0.62002	0.567724	0.479422	0.37998	0.432276	0.529323	0.334039	
226.612	8063.4	8944	17007.4	4801.91	4853.6	9655.52	4142.09	3209.79	7351.88	0.536886	0.60193	0.567725	0.463114	0.39807	0.432275	0.532634	0.334229	
236.865	8063.4	8944	17007.4	4850.62	4804.9	9655.52	4093.38	3258.5	7351.88	0.542332	0.59589	0.567725	0.457668	0.40411	0.432275	0.528717	0.332996	
247.404	8063.4	8944	17007.4	4908.91	4746.61	9655.52	4035.09	3316.79	7351.88	0.548849	0.588661	0.567725	0.451151	0.411339	0.432275	0.556177	0.333652	
259.015	8063.4	8944	17007.4	4910.64	4744.88	9655.52	4033.36	3318.52	7351.88	0.549043	0.588447	0.567725	0.450957	0.411553	0.432275	0.546703	0.332714	
270.994	8063.4	8944	17007.4	4995.25	4660.27	9655.52	3948.76	3403.12	7351.88	0.558502	0.577954	0.567725	0.441498	0.422046	0.432275	0.518665	0.333094	
283.032	8063.4	8944	17007.4	5010.59	4644.92	9655.52	3933.41	3418.47	7351.88	0.560219	0.57605	0.567725	0.439781	0.42395	0.432275	0.535634	0.333462	
294.665	8063.4	8944	17007.4	5030.52	4625	9655.52	3913.49	3438.39	7351.88	0.562446	0.57358	0.567725	0.437554	0.42642	0.432275	0.513882	0.334039	
306.869	8063.4	8944	17007.4	5027.71	4627.81	9655.52	3916.29	3435.59	7351.88	0.562132	0.573928	0.567725	0.437868	0.426072	0.432275	0.535722	0.333599	
