time	vol_tube_outer	vol_tube_inner	vol_tube_total	vol_blue_inner	vol_blue_outer	vol_blue_total	vol_grey_inner	vol_grey_outer	vol_grey_total	ppr_blue_inner	ppr_blue_outer	ppr_blue_total	ppr_grey_inner	ppr_grey_outer	ppr_grey_total	
0	1724.8	490.153	2214.96	0.902688	1146.84	1147.74	489.25	577.965	1067.22	0.00184165	0.664909	0.518177	0.998158	0.335091	0.481823	
0.0155128	1724.8	490.153	2214.96	18.6201	1129.12	1147.74	471.533	595.683	1067.22	0.0379884	0.654637	0.518177	0.962012	0.345363	0.481823	
0.0250834	1724.8	490.153	2214.96	22.8091	1124.93	1147.74	467.344	599.872	1067.22	0.0465346	0.652208	0.518177	0.953465	0.347792	0.481823	
0.0353928	1724.8	490.153	2214.96	38.7621	1108.98	1147.74	451.391	615.825	1067.22	0.0790816	0.642959	0.518177	0.920918	0.357041	0.481823	
0.0458103	1724.8	490.153	2214.96	52.5895	1095.15	1147.74	437.563	629.652	1067.22	0.107292	0.634942	0.518177	0.892708	0.365058	0.481823	
0.0564167	1724.8	490.153	2214.96	63.6167	1084.12	1147.74	426.536	640.679	1067.22	0.12979	0.628549	0.518177	0.87021	0.371451	0.481823	
0.0678364	1724.8	490.153	2214.96	73.9335	1073.81	1147.74	416.219	650.996	1067.22	0.150838	0.622568	0.518177	0.849162	0.377432	0.481823	
0.0784839	1724.8	490.153	2214.96	80.4629	1067.28	1147.74	409.69	657.526	1067.22	0.164159	0.618782	0.518177	0.835841	0.381218	0.481823	
0.0897257	1724.8	490.153	2214.96	92.8688	1054.87	1147.74	397.284	669.932	1067.22	0.189469	0.611589	0.518177	0.810531	0.388411	0.481823	
0.102055	1724.8	490.153	2214.96	105.15	1042.59	1147.74	385.003	682.212	1067.22	0.214524	0.604469	0.518177	0.785476	0.395531	0.481823	
0.114232	1724.8	490.153	2214.96	109.853	1037.89	1147.74	380.3	686.916	1067.22	0.22412	0.601742	0.518177	0.77588	0.398258	0.481823	
0.125759	1724.8	490.153	2214.96	116.641	1031.1	1147.74	373.512	693.704	1067.22	0.237969	0.597807	0.518177	0.762031	0.402193	0.481823	
0.136985	1724.8	490.153	2214.96	127.066	1020.67	1147.74	363.086	704.129	1067.22	0.259238	0.591763	0.518177	0.740762	0.408237	0.481823	
0.148568	1724.8	490.153	2214.96	134.022	1013.72	1147.74	356.131	711.084	1067.22	0.273429	0.58773	0.518177	0.726571	0.41227	0.481823	
0.160501	1724.8	490.153	2214.96	139.336	1008.4	1147.74	350.816	716.399	1067.22	0.284271	0.584649	0.518177	0.715729	0.415351	0.481823	
0.172543	1724.8	490.153	2214.96	145.577	1002.16	1147.74	344.576	722.639	1067.22	0.297002	0.581031	0.518177	0.702998	0.418969	0.481823	
0.185146	1724.8	490.153	2214.96	150.161	997.579	1147.74	339.992	727.224	1067.22	0.306355	0.578373	0.518177	0.693645	0.421627	0.481823	
0.197057	1724.8	490.153	2214.96	152.848	994.892	1147.74	337.305	729.91	1067.22	0.311837	0.576815	0.518177	0.688163	0.423185	0.481823	
0.209463	1724.8	490.153	2214.96	157.482	990.258	1147.74	332.67	734.545	1067.22	0.321292	0.574128	0.518177	0.678708	0.425872	0.481823	
0.222036	1724.8	490.153	2214.96	161.573	986.167	1147.74	328.58	738.635	1067.22	0.329638	0.571757	0.518178	0.670362	0.428243	0.481822	
0.235693	1724.8	490.153	2214.96	167.615	980.125	1147.74	322.538	744.677	1067.22	0.341964	0.568254	0.518178	0.658036	0.431746	0.481822	
0.251088	1724.8	490.153	2214.96	176.546	971.195	1147.74	313.607	753.608	1067.22	0.360185	0.563076	0.518178	0.639815	0.436924	0.481822	
0.265845	1724.8	490.153	2214.96	181.971	965.769	1147.74	308.182	759.034	1067.22	0.371254	0.55993	0.518178	0.628746	0.44007	0.481822	
0.279439	1724.8	490.153	2214.96	187.648	960.092	1147.74	302.505	764.71	1067.22	0.382836	0.556639	0.518178	0.617164	0.443361	0.481822	
0.293059	1724.8	490.153	2214.96	190.023	957.717	1147.74	300.13	767.086	1067.22	0.387681	0.555262	0.518178	0.612319	0.444738	0.481822	
0.308074	1724.8	490.153	2214.96	195.543	952.197	1147.74	294.609	772.606	1067.22	0.398944	0.552061	0.518178	0.601056	0.447939	0.481822	
0.325596	1724.8	490.153	2214.96	197.23	950.51	1147.74	292.922	774.293	1067.22	0.402386	0.551083	0.518178	0.597614	0.448917	0.481822	
0.341131	1724.8	490.153	2214.96	196.75	950.99	1147.74	293.403	773.813	1067.22	0.401406	0.551362	0.518178	0.598594	0.448638	0.481822	
0.356534	1724.8	490.153	2214.96	200.151	947.589	1147.74	290.001	777.214	1067.22	0.408345	0.54939	0.518178	0.591655	0.45061	0.481822	
0.373087	1724.8	490.153	2214.96	204.981	942.76	1147.74	285.172	782.043	1067.22	0.418198	0.54659	0.518178	0.581802	0.45341	0.481822	
0.392933	1724.8	490.153	2214.96	205.305	942.436	1147.74	284.848	782.367	1067.22	0.418858	0.546402	0.518178	0.581142	0.453598	0.481822	
0.413124	1724.8	490.153	2214.96	207.007	940.733	1147.74	283.145	784.07	1067.22	0.422332	0.545415	0.518178	0.577668	0.454585	0.481822	
0.430382	1724.8	490.153	2214.96	205.851	941.89	1147.74	284.302	782.913	1067.22	0.419973	0.546085	0.518178	0.580027	0.453915	0.481822	
0.4474	1724.8	490.153	2214.96	206.541	941.199	1147.74	283.612	783.604	1067.22	0.421381	0.545685	0.518178	0.578619	0.454315	0.481822	
0.465155	1724.8	490.153	2214.96	208.335	939.405	1147.74	281.818	785.398	1067.22	0.425042	0.544645	0.518178	0.574958	0.455355	0.481822	
0.481276	1724.8	490.153	2214.96	212.996	934.744	1147.74	277.156	790.059	1067.22	0.434551	0.541942	0.518178	0.565449	0.458058	0.481822	
0.497226	1724.8	490.153	2214.96	216.242	931.499	1147.74	273.911	793.304	1067.22	0.441172	0.540061	0.518178	0.558828	0.459939	0.481822	
0.514915	1724.8	490.153	2214.96	219.266	928.474	1147.74	270.887	796.328	1067.22	0.447342	0.538308	0.518178	0.552658	0.461692	0.481822	
0.530766	1724.8	490.153	2214.96	218.386	929.354	1147.74	271.767	795.448	1067.22	0.445546	0.538818	0.518178	0.554454	0.461182	0.481822	
0.545781	1724.8	490.153	2214.96	219.32	928.42	1147.74	270.833	796.382	1067.22	0.447452	0.538276	0.518178	0.552548	0.461724	0.481822	
0.559196	1724.8	490.153	2214.96	220.703	927.038	1147.74	269.45	797.765	1067.22	0.450273	0.537475	0.518178	0.549727	0.462525	0.481822	
0.574534	1724.8	490.153	2214.96	226.054	921.686	1147.74	264.099	803.117	1067.22	0.461191	0.534372	0.518178	0.538809	0.465628	0.481822	
0.589259	1724.8	490.153	2214.96	224.908	922.832	1147.74	265.244	801.971	1067.22	0.458854	0.535036	0.518178	0.541146	0.464964	0.481822	
0.604678	1724.8	490.153	2214.96	227.993	919.747	1147.74	262.16	805.056	1067.22	0.465147	0.533248	0.518178	0.534853	0.466752	0.481822	
0.619354	1724.8	490.153	2214.96	229.569	918.171	1147.74	260.584	806.631	1067.22	0.468362	0.532334	0.518178	0.531638	0.467666	0.481822	
0.632856	1724.8	490.153	2214.96	229.584	918.157	1147.74	260.569	806.646	1067.22	0.468392	0.532326	0.518178	0.531608	0.467674	0.481822	
0.64672	1724.8	490.153	2214.96	232.721	915.019	1147.74	257.432	809.784	1067.22	0.474793	0.530507	0.518178	0.525207	0.469493	0.481822	
0.660373	1724.8	490.153	2214.96	234.525	913.215	1147.74	255.628	811.587	1067.22	0.478473	0.529461	0.518178	0.521527	0.470539	0.481822	
